name,Latitude,Longitude
exit_105_1,50.814209,4.383903
exit_A_1,50.811698,4.380991
exit_AW_1,50.812053,4.380967
exit_AW_2,50.81212,4.380517
exit_AX_1,50.81186,4.381519
exit_AY_1,50.811537,4.381683
exit_AY_2,50.81134,4.381681
exit_AY_3,50.811485,4.382147
exit_AZ_1,50.811355,4.382272
exit_B_1,50.814234,4.382028
exit_C_1,50.815519,4.38317
exit_D_1,50.811864,4.384312
exit_D_2,50.811864,4.384438
exit_E_1,50.814984,4.382098
exit_E_2,50.814604,4.382384
exit_F1_1,50.813447,4.382519
exit_F1_2,50.813257,4.381974
exit_F1_3,50.813119,4.381606
exit_F1_4,50.813279,4.381044
exit_F1_5,50.813459,4.381852
exit_F1_6,50.81367,4.382404
exit_H_1,50.812863,4.380801
exit_H_2,50.812803,4.380556
exit_H_3,50.812604,4.379894
exit_J_1,50.81343,4.379881
exit_J_2,50.813248,4.379983
exit_J_3,50.813086,4.379752
exit_J_4,50.813109,4.379141
exit_JE_52,50.814568,4.37963
exit_JE_54,50.814427,4.37943
exit_JE_56,50.814348,4.3793
exit_JE_58,50.814246,4.37918
exit_JE_60,50.814208,4.378991
exit_K_1,50.814507,4.382131
exit_K_2,50.814883,4.381442
exit_K_3,50.815023,4.381838
exit_L_1,50.812644,4.383723
exit_M_1,50.813924,4.382413
exit_NA_1,50.812216,4.381388
exit_NB_1,50.812825,4.381289
exit_O_1,50.81488,4.383474
exit_P1_1,50.813078,4.382805
exit_P1_2,50.8132,4.383227
exit_P2_1,50.81285,4.382974
exit_P2_2,50.812972,4.3834
exit_P3_1,50.813255,4.383387
exit_P4_1,50.813015,4.38354
exit_R_1,50.81379,4.378729
exit_R_2,50.813859,4.379818
exit_S_1,50.814656,4.380366
exit_S1_1,50.814803,4.381078
exit_T1_1,50.812652,4.383914
exit_T2_1,50.81251,4.383938
exit_T3_1,50.812156,4.384167
exit_UA_1,50.811844,4.382975
exit_UB_1,50.811739,4.382342
exit_UB_2,50.811782,4.38254
exit_UC_1,50.812145,4.382266
exit_UC_2,50.812419,4.382064
exit_UC_3,50.812339,4.381883
exit_UD_1,50.812598,4.382425
exit_UD_2,50.812866,4.381887
